"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"QLX61_RS19500","","","4","4","1","1","3050","","","","2039","2039","2039","NNL25_RS19370","PA14_47810","PA1270","QLX61_RS19500"
"arnA","","","4","4","1","1","5627","","","","1988","1988","1988","NNL25_RS07200","PA14_18350","PA3554","QLX61_RS07210"
"fadH2","","","4","4","1","1","2170","","","","2045","2045","2045","NNL25_RS25645","PA14_63640","PA4814","QLX61_RS25540"
"glpQ","","","4","4","1","1","6781","","","","1151","1151","1151","NNL25_RS01715","PA14_04550","PA0347","QLX61_RS01845"
"QLX61_RS03960","","","4","4","1","1","6318","","","","911","911","911","NNL25_RS03975","PA14_09730","PA4188","QLX61_RS03960"
"PA3327","","","4","4","1","1","5411","","","","7058","7058","7058","NNL25_RS08255","PA14_21020","PA3327","QLX61_RS08290"
"QLX61_RS17920","","","4","4","1","1","2732","","","","782","782","782","NNL25_RS17690","PA14_43820","PA1599","QLX61_RS17920"
"NNL25_RS14890","","","4","4","1","1","192","","","","491","491","491","NNL25_RS14890","PA14_36780","PA2148","QLX61_RS15125"
"magD","","","4","4","1","1","3632","","","","4550","4550","4550","NNL25_RS23815","PA14_58250","PA4489","QLX61_RS23735"
"QLX61_RS01490","","","4","4","1","1","6852","","","","698","698","698","NNL25_RS01360","PA14_03630","PA0279","QLX61_RS01490"
"QLX61_RS26720","","","4","4","1","1","1930","","","","1268","1268","1268","NNL25_RS26830","PA14_66680","PA5046","QLX61_RS26720"
"PA2913","","","4","4","1","1","4911","","","","971","971","971","NNL25_RS10395","PA14_26390","PA2913","QLX61_RS10430"
"NNL25_RS04815","","","4","4","1","1","6152","","","","1520","1520","1520","NNL25_RS04815","PA14_11810","PA4022","QLX61_RS04800"
"PA3850","","","4","4","1","1","5971","","","","911","911","911","NNL25_RS05665","PA14_14210","PA3850","QLX61_RS05680"
"QLX61_RS02120","","","4","4","1","1","6726","","","","1184","1184","1184","NNL25_RS01990","PA14_05230","PA0400","QLX61_RS02120"
"hisD","","","4","4","1","1","3673","","","","1322","1322","1322","NNL25_RS23610","PA14_57780","PA4448","QLX61_RS23530"
"dotU3","","","4","4","1","1","4183","","","","758","758","758","NNL25_RS13830","PA14_34110","PA2362","QLX61_RS13860"
"acsB","","","4","4","1","1","2262","","","","1937","1937","1937","NNL25_RS25225","PA14_62630","PA4733","QLX61_RS25075"
"hpcC","","","4","4","1","1","6252","","","","1460","1460","1460","NNL25_RS04300","PA14_10630","PA4123","QLX61_RS04285"
"PA14_37250","","","4","4","1","1","232","","","","1271","1271","1271","NNL25_RS15085","PA14_37250","PA2114","QLX61_RS15320"
"PA14_15020","","","4","4","1","1","5903","","","","332","332","332","NNL25_RS05975","PA14_15020","PA3793","QLX61_RS05970"
"QLX61_RS22990","","","4","4","1","1","3780","","","","1319","1319","1319","NNL25_RS23070","PA14_56470","PA4343","QLX61_RS22990"
"mutY","","","4","4","1","1","1828","","","","1067","1067","1067","NNL25_RS27345","PA14_67990","PA5147","QLX61_RS27235"
"prlC","","","4","4","1","1","1032","","","","2045","2045","2045","NNL25_RS00365","PA14_00790","PA0067","QLX61_RS00455"
"NNL25_RS08835","","","4","4","1","1","5272","","","","764","764","764","NNL25_RS08835","PA14_22580","PA3220","QLX61_RS08875"
"NNL25_RS24330","","","4","4","1","1","3490","","","","377","377","377","NNL25_RS24330","PA14_60690","PA4586","QLX61_RS24255"
"rcpA","","","4","4","1","1","3820","","","","1250","1250","1250","NNL25_RS22870","PA14_55920","PA4304","QLX61_RS22790"
"QLX61_RS24495","","","4","4","1","1","3443","","","","1025","1025","1025","NNL25_RS24570","PA14_61280","PA4631","QLX61_RS24495"
"PA14_64930","","","4","4","1","1","2066","","","","695","695","695","NNL25_RS26160","PA14_64930","PA4916","QLX61_RS26055"
"QLX61_RS00710","","","4","4","1","1","1084","","","","587","587","587","NNL25_RS00620","PA14_01440","PA0118","QLX61_RS00710"
"rbsR","","","4","4","1","1","400","","","","1013","1013","1013","NNL25_RS15895","PA14_39300","PA1949","QLX61_RS16120"
"zigA","","","4","4","1","1","1427","","","","1202","1202","1202","NNL25_RS29360","PA14_73010","PA5535","QLX61_RS29320"
"hpcD","","","4","4","1","1","6254","","","","392","392","392","NNL25_RS04290","PA14_10610","PA4125","QLX61_RS04275"
"mtlD","","","4","4","1","1","4163","","","","1475","1475","1475","NNL25_RS13930","PA14_34360","PA2342","QLX61_RS13960"
"gcbA","","","4","4","1","1","2140","","","","1628","1628","1628","NNL25_RS25795","PA14_64050","PA4843","QLX61_RS25690"
"QLX61_RS08130","","","4","4","1","1","5443","","","","1010","1010","1010","NNL25_RS08095","PA14_20630","PA3359","QLX61_RS08130"
"PA4716","","","4","4","1","1","2280","","","","854","854","854","NNL25_RS25135","PA14_62410","PA4716","QLX61_RS24985"
"mksB","","","4","4","1","1","2313","","","","2846","2846","2846","NNL25_RS24955","PA14_61990","PA4686","QLX61_RS24800"
"foxA","","","4","4","1","1","4327","","","","2462","2462","2462","NNL25_RS13290","PA14_32740","PA2466","QLX61_RS13230"
"QLX61_RS25385","","","4","4","1","1","2200","","","","935","935","935","NNL25_RS25535","PA14_63330","PA4792","QLX61_RS25385"
"PA1365","","","4","4","1","1","2999","","","","2441","2441","2441","NNL25_RS18895","PA14_46640","PA1365","QLX61_RS18385"
"glcC","","","4","4","1","1","1612","","","","755","755","755","NNL25_RS28435","PA14_70710","PA5356","QLX61_RS28390"
"PA3433","","","4","4","1","1","5524","","","","893","902","895","NNL25_RS07705","PA14_19670","PA3433","QLX61_RS07725"
"NNL25_RS15285","","","4","4","1","1","279","","","","1163","1163","1163","NNL25_RS15285","PA14_37760","PA2068","QLX61_RS15515"
"hisF1","","","4","4","1","1","1837","","","","770","770","770","NNL25_RS27300","PA14_67880","PA5140","QLX61_RS27190"
"PA2875","","","4","4","1","1","4873","","","","917","917","917","NNL25_RS10585","PA14_26910","PA2875","QLX61_RS10620"
"braC","","","4","4","1","1","2366","","","","1121","1121","1121","NNL25_RS20430","PA14_50520","PA1074","QLX61_RS20540"
"group_5451","hutG","","4","4","1","1","1886","","","","800","800","800","NNL25_RS27055","PA14_67240","PA5091","QLX61_RS26945"
"NNL25_RS07295","","","4","4","1","1","5608","","","","2987","2987","2987","NNL25_RS07295","PA14_18630","PA3535","QLX61_RS07305"
"pncB2","","","4","4","1","1","3747","","","","1196","1196","1196","NNL25_RS23240","PA14_56900","PA4376","QLX61_RS23160"
"NNL25_RS27660","","","4","4","1","1","1768","","","","701","701","701","NNL25_RS27660","PA14_68750","PA5205","QLX61_RS27620"
"PA3228","","","4","4","1","1","5286","","","","1832","1832","1832","NNL25_RS08795","PA14_22440","PA3228","QLX61_RS08835"
"PA14_02435","","","4","4","1","1","1161","","","","899","899","899","NNL25_RS00990","PA14_02435","PA0194","QLX61_RS01080"
"leuD","","","4","4","1","1","5127","","","","638","638","638","NNL25_RS09340","PA14_23760","PA3120","QLX61_RS09375"
"uraD","","","4","4","1","1","2862","","","","515","515","515","NNL25_RS18125","PA14_44840","PA1516","QLX61_RS18770"
"PA14_31780","","","4","4","1","1","4399","","","","911","911","911","NNL25_RS12925","PA14_31780","PA2534","QLX61_RS12860"
"phnX","","","4","4","1","1","2529","","","","827","827","827","NNL25_RS19165","PA14_47280","PA1311","QLX61_RS18655"
"QLX61_RS05390","","","4","4","1","1","6033","","","","1562","1562","1562","NNL25_RS05375","PA14_13330","PA3910","QLX61_RS05390"
"group_5462","lon","","4","4","1","1","3305","","","","2399","2399","2399","NNL25_RS22145","PA14_54210","PA0779","QLX61_RS22090"
"PA5279","","","4","4","1","1","1690","","","","701","701","701","NNL25_RS28050","PA14_69700","PA5279","QLX61_RS28005"
"hemC","","","4","4","1","1","1710","","","","941","941","941","NNL25_RS27950","PA14_69450","PA5260","QLX61_RS27905"
"QLX61_RS05500","","","4","4","1","1","6011","","","","935","935","935","NNL25_RS05485","PA14_13600","PA3889","QLX61_RS05500"
"ribA","","","4","4","1","1","6178","","","","617","617","617","NNL25_RS04690","PA14_11510","PA4047","QLX61_RS04675"
"desB","","","4","4","1","1","2094","","","","1112","1112","1112","NNL25_RS26020","PA14_64610","PA4888","QLX61_RS25915"
"NNL25_RS29175","","","4","4","1","1","1465","","","","923","923","923","NNL25_RS29175","PA14_72550","PA5498","QLX61_RS29130"
"NNL25_RS03410","","","4","4","1","1","6428","","","","1481","1481","1481","NNL25_RS03410","PA14_08430","PA0657","QLX61_RS03395"
"PA14_68840","","","4","4","1","1","1761","","","","329","329","329","NNL25_RS27695","PA14_68840","PA5212","QLX61_RS27655"
"QLX61_RS22975","","","4","4","1","1","3783","","","","572","572","572","NNL25_RS23055","PA14_56420","PA4340","QLX61_RS22975"
"PA3776","","","4","4","1","1","5885","","","","908","908","908","NNL25_RS06065","PA14_15240","PA3776","QLX61_RS06060"
"QLX61_RS27895","","","4","4","1","1","1712","","","","1130","1130","1130","NNL25_RS27940","PA14_69430","PA5258","QLX61_RS27895"
"tusC","","","4","4","1","1","4525","","","","359","359","359","NNL25_RS12090","PA14_30390","PA2606","QLX61_RS12460"
"PA4781","","","4","4","1","1","2211","","","","1181","1181","1181","NNL25_RS25480","PA14_63210","PA4781","QLX61_RS25330"
"pctB","","","4","4","1","1","3814","","","","1889","1889","1889","NNL25_RS22900","PA14_56010","PA4310","QLX61_RS22820"
"PA14_06480","","","4","4","1","1","6628","","","","977","977","977","NNL25_RS02465","PA14_06480","PA0496","QLX61_RS02605"
"PA3453","","","4","4","1","1","5545","","","","665","665","665","NNL25_RS07605","PA14_19450","PA3453","QLX61_RS07625"
"glmU","","","4","4","1","1","1403","","","","1364","1364","1364","NNL25_RS29445","PA14_73220","PA5552","QLX61_RS29440"
"lpxO2","","","4","4","1","1","743","","","","938","938","938","NNL25_RS21320","PA14_52150","PA0936","QLX61_RS21255"
"mobA","","","4","4","1","1","5030","","","","596","596","596","NNL25_RS09795","PA14_24890","PA3030","QLX61_RS09830"
"sppC","","","4","4","1","1","287","","","","1016","1016","1016","NNL25_RS15325","PA14_37850","PA2060","QLX61_RS15555"
"PA14_04510","","","4","4","1","1","6784","","","","1379","1379","1379","NNL25_RS01700","PA14_04510","PA0344","QLX61_RS01830"
"PA3972","","","4","4","1","1","6103","","","","1649","1649","1649","NNL25_RS05060","PA14_12450","PA3972","QLX61_RS05045"
"QLX61_RS25635","","","4","4","1","1","2151","","","","797","797","797","NNL25_RS25740","PA14_63890","PA4832","QLX61_RS25635"
"PA2754","","","4","4","1","1","4730","","","","329","329","329","NNL25_RS11290","PA14_28490","PA2754","QLX61_RS11340"
"NNL25_RS19405","","","4","4","1","1","3057","","","","866","866","866","NNL25_RS19405","PA14_47880","PA1264","QLX61_RS19535"
"sohB","","","4","4","1","1","486","","","","1025","1025","1025","NNL25_RS16480","PA14_40840","PA1832","QLX61_RS16710"
"urtD","","","4","4","1","1","2122","","","","857","857","857","NNL25_RS25885","PA14_64300","PA4861","QLX61_RS25780"
"QLX61_RS24600","","","4","4","1","1","3421","","","","542","542","542","NNL25_RS24675","PA14_61520","PA4650","QLX61_RS24600"
"motA","","","4","4","1","1","2025","","","","851","851","851","NNL25_RS26360","PA14_65450","PA4954","QLX61_RS26255"
"rlmM","","","4","4","1","1","2770","","","","1058","1058","1058","NNL25_RS17880","PA14_44280","PA1563","QLX61_RS18110"
"znuC","","","4","4","1","1","1463","","","","809","809","809","NNL25_RS29185","PA14_72580","PA5500","QLX61_RS29140"
"trpS","","","4","4","1","1","3682","","","","1346","1346","1346","NNL25_RS23565","PA14_57670","PA4439","QLX61_RS23485"
"PA14_12270","","","4","4","1","1","6116","","","","761","761","761","NNL25_RS04995","PA14_12270","PA3985","QLX61_RS04980"
"pgm","","","4","4","1","1","1846","","","","1547","1547","1547","NNL25_RS27255","PA14_67770","PA5131","QLX61_RS27145"
"QLX61_RS12365","","","4","4","1","1","4544","","","","470","470","470","NNL25_RS11995","PA14_30160","PA2625","QLX61_RS12365"
"cyp23","","","4","4","1","1","5415","","","","1256","1256","1256","NNL25_RS08235","PA14_20970","PA3331","QLX61_RS08270"
"orn","","","4","4","1","1","2028","","","","542","542","542","NNL25_RS26345","PA14_65410","PA4951","QLX61_RS26240"
"lpdA","","","4","4","1","1","2744","","","","1436","1436","1436","NNL25_RS17750","PA14_43970","PA1587","QLX61_RS17980"
"PA14_28030","","","4","4","1","1","4773","","","","485","485","485","NNL25_RS11070","PA14_28030","PA2790","QLX61_RS11120"
"PA14_61530","","","4","4","1","1","3420","","","","788","788","788","NNL25_RS24680","PA14_61530","PA4651","QLX61_RS24605"
"eat","","","4","4","1","1","6153","","","","1448","1448","1448","NNL25_RS04810","PA14_11790","PA4023","QLX61_RS04795"
"PA14_09940","","","4","4","1","1","6301","","","","563","563","563","NNL25_RS04060","PA14_09940","PA4171","QLX61_RS04045"
"QLX61_RS18100","","","4","4","1","1","2768","","","","1310","1310","1310","NNL25_RS17870","PA14_44260","PA1565","QLX61_RS18100"
"chpA","","","4","4","1","1","6713","","","","7418","7430","7421","NNL25_RS02055","PA14_05390","PA0413","QLX61_RS02185"
"PA14_11480","","","4","4","1","1","6180","","","","746","746","746","NNL25_RS04680","PA14_11480","PA4049","QLX61_RS04665"
"QLX61_RS25495","","","4","4","1","1","2178","","","","1406","1406","1406","NNL25_RS25600","PA14_63500","PA4805","QLX61_RS25495"
"QLX61_RS01850","","","4","4","1","1","6780","","","","1094","1094","1094","NNL25_RS01720","PA14_04560","PA0348","QLX61_RS01850"
"PA14_38710","","","4","4","1","1","353","","","","356","356","356","NNL25_RS15660","PA14_38710","PA1995","QLX61_RS15885"
"NNL25_RS04605","","","4","4","1","1","6195","","","","1265","1265","1265","NNL25_RS04605","PA14_11290","PA4065","QLX61_RS04590"
"PA14_41450","","","4","4","1","1","437","","","","467","467","467","NNL25_RS16730","PA14_41450","PA1788","QLX61_RS16960"
"PA4658","","","4","4","1","1","3413","","","","956","959","956","NNL25_RS24715","PA14_61610","PA4658","QLX61_RS24640"
"motD","","","4","4","1","1","2894","","","","890","890","890","NNL25_RS18400","PA14_45540","PA1461","QLX61_RS19050"
"PA1429","","","4","4","1","1","2926","","","","2708","2708","2708","NNL25_RS18560","PA14_45970","PA1429","QLX61_RS19210"
"QLX61_RS03190","","","4","4","1","1","6470","","","","1061","1061","1061","NNL25_RS03210","PA14_07810","PA0599","QLX61_RS03190"
"pilK","","","4","4","1","1","6714","","","","875","875","875","NNL25_RS02050","PA14_05380","PA0412","QLX61_RS02180"
"QLX61_RS27365","","","4","4","1","1","1816","","","","1478","1478","1478","NNL25_RS27405","PA14_68120","PA5158","QLX61_RS27365"
"kdpA","","","4","4","1","1","2698","","","","1694","1694","1694","NNL25_RS17520","PA14_43400","PA1633","QLX61_RS17750"
"NNL25_RS25400","","","4","4","1","1","2228","","","","305","305","305","NNL25_RS25400","PA14_63040","PA4766","QLX61_RS25250"
"phzH","","","4","4","1","1","1016","","","","1832","1832","1832","NNL25_RS00290","PA14_00640","PA0051","QLX61_RS00380"
"QLX61_RS06600","","","4","4","1","1","5751","","","","680","680","680","NNL25_RS06585","PA14_16830","PA3675","QLX61_RS06600"
"QLX61_RS17525","","","4","4","1","1","2654","","","","320","320","320","NNL25_RS17295","PA14_42830","PA1676","QLX61_RS17525"
"PA4674","","","4","4","1","1","3156","","","","305","320","308","NNL25_RS24885","PA14_61840","PA4674","QLX61_RS24730"
"PA14_32350","","","4","4","1","1","4363","","","","632","632","632","NNL25_RS13110","PA14_32350","PA2498","QLX61_RS13045"
"norR","","","4","4","1","1","4586","","","","1553","1553","1553","NNL25_RS11785","PA14_29620","PA2665","QLX61_RS12155"
"thiG","","","4","4","1","1","6746","","","","797","797","797","NNL25_RS01890","PA14_04980","PA0381","QLX61_RS02020"
"QLX61_RS18795","","","4","4","1","1","2857","","","","2528","2528","2528","NNL25_RS18150","PA14_44900","PA1511","QLX61_RS18795"
"NNL25_RS17815","","","4","4","1","1","2757","","","","551","551","551","NNL25_RS17815","PA14_44130","PA1575","QLX61_RS18045"
"QLX61_RS26260","","","4","4","1","1","2024","","","","1511","1511","1511","NNL25_RS26365","PA14_65470","PA4955","QLX61_RS26260"
"PA2628","","","4","4","1","1","4547","","","","890","890","890","NNL25_RS11980","PA14_30130","PA2628","QLX61_RS12350"
"QLX61_RS12980","","","4","4","1","1","4376","","","","1001","1001","1001","NNL25_RS13045","PA14_32190","PA2511","QLX61_RS12980"
"algE","","","4","4","1","1","5617","","","","1472","1472","1472","NNL25_RS07250","PA14_18510","PA3544","QLX61_RS07260"
"mdlC","","","4","4","1","1","2081","","","","1586","1586","1586","NNL25_RS26085","PA14_64770","PA4901","QLX61_RS25980"
"QLX61_RS24930","","","4","4","1","1","2291","","","","887","887","887","NNL25_RS25080","PA14_62270","PA4705","QLX61_RS24930"
"bauA","","","4","4","1","1","1098","","","","1346","1346","1346","NNL25_RS00690","PA14_01620","PA0132","QLX61_RS00780"
"valS","","","4","4","1","1","5952","","","","2852","2852","2852","NNL25_RS05745","PA14_14440","PA3834","QLX61_RS05760"
"QLX61_RS23000","","","4","4","1","1","3778","","","","590","590","590","NNL25_RS23080","PA14_56510","PA4345","QLX61_RS23000"
"gor","","","4","4","1","1","322","","","","1355","1355","1355","NNL25_RS15505","PA14_38330","PA2025","QLX61_RS15725"
"radC","","","4","4","1","1","1649","","","","674","674","674","NNL25_RS28250","PA14_70230","PA5319","QLX61_RS28205"
"norC","","","4","4","1","1","6599","","","","440","440","440","NNL25_RS02610","PA14_06810","PA0523","QLX61_RS02735"
"mexV","","","4","4","1","1","3749","","","","1130","1130","1130","NNL25_RS23230","PA14_56880","PA4374","QLX61_RS23150"
"PA14_63350","","","4","4","1","1","2198","","","","482","482","482","NNL25_RS25545","PA14_63350","PA4794","QLX61_RS25395"
"group_5538","rarD","","4","4","1","1","5566","","","","899","899","899","NNL25_RS07505","PA14_19160","PA3473","QLX61_RS07515"
"group_5539","asd","","4","4","1","1","2022","","","","869","869","869","NNL25_RS26375","PA14_65500","PA4957","QLX61_RS26270"
"NNL25_RS25100","","","4","4","1","1","2287","","","","1064","1064","1064","NNL25_RS25100","PA14_62330","PA4709","QLX61_RS24950"
"tssC","","","4","4","1","1","1049","","","","1496","1496","1496","NNL25_RS00450","PA14_01020","PA0084","QLX61_RS00540"
"QLX61_RS08310","","","4","4","1","1","5407","","","","875","875","875","NNL25_RS08275","PA14_21060","PA3323","QLX61_RS08310"
"ilvC","","","4","4","1","1","2302","","","","1016","1016","1016","NNL25_RS25025","PA14_62130","PA4694","QLX61_RS24870"
"QLX61_RS18540","","","4","4","1","1","2506","","","","1112","1112","1112","NNL25_RS19050","PA14_47000","PA1334","QLX61_RS18540"
"QLX61_RS17025","","","4","4","1","1","424","","","","824","824","824","NNL25_RS16795","PA14_41590","PA1775","QLX61_RS17025"
"PA1864","","","4","4","1","1","521","","","","650","650","650","NNL25_RS16315","PA14_40380","PA1864","QLX61_RS16545"
"pvdR","","","4","4","1","1","4215","","","","1175","1175","1175","NNL25_RS13690","PA14_33770","PA2389","QLX61_RS13720"
"PA14_61590","","","4","4","1","1","3415","","","","917","917","917","NNL25_RS24705","PA14_61590","PA4656","QLX61_RS24630"
"tadZ","","","4","4","1","1","3821","","","","1184","1184","1184","NNL25_RS22865","PA14_55900","PA4303","QLX61_RS22785"
"QLX61_RS00330","","","4","4","1","1","1006","","","","395","395","395","NNL25_RS00240","PA14_00530","PA0042","QLX61_RS00330"
"NNL25_RS25120","","","4","4","1","1","2283","","","","449","449","449","NNL25_RS25120","PA14_62380","PA4713","QLX61_RS24970"
"pbpC","","","4","4","1","1","4094","","","","1697","1697","1697","NNL25_RS14280","PA14_35190","PA2272","QLX61_RS14300"
"ureC","","","4","4","1","1","2115","","","","1700","1700","1700","NNL25_RS25920","PA14_64390","PA4868","QLX61_RS25815"
"fepG","","","4","4","1","1","6291","","","","1031","1031","1031","NNL25_RS04110","PA14_10140","PA4161","QLX61_RS04095"
"adhC","","","4","4","1","1","5705","","","","1112","1112","1112","NNL25_RS06815","PA14_17400","PA3629","QLX61_RS06830"
"phnW","","","4","4","1","1","2530","","","","1115","1115","1115","NNL25_RS19170","PA14_47300","PA1310","QLX61_RS18660"
"cynR","","","4","4","1","1","293","","","","887","887","887","NNL25_RS15355","PA14_37940","PA2054","QLX61_RS15585"
"NNL25_RS12505","","","4","4","1","1","4515","","","","986","986","986","NNL25_RS12505","PA14_30520","PA2596","QLX61_RS12515"
"PA14_05560","","","4","4","1","1","6698","","","","1919","1919","1919","NNL25_RS02130","PA14_05560","PA0428","QLX61_RS02260"
"QLX61_RS29030","","","4","4","1","1","1486","","","","1040","1040","1040","NNL25_RS29075","PA14_72300","PA5477","QLX61_RS29030"
"QLX61_RS00795","","","4","4","1","1","1102","","","","1571","1571","1571","NNL25_RS00705","PA14_01670","PA0136","QLX61_RS00795"
"QLX61_RS25095","","","4","4","1","1","2258","","","","218","314","290","NNL25_RS25245","PA14_62670","PA4737","QLX61_RS25095"
"spoT","","","4","4","1","1","1630","","","","2105","2105","2105","NNL25_RS28345","PA14_70470","PA5338","QLX61_RS28300"
"PA14_23200","","","4","4","1","1","5223","","","","740","740","740","NNL25_RS09080","PA14_23200","PA3173","QLX61_RS09120"
"rfbB","","","4","4","1","1","1813","","","","1058","1058","1058","NNL25_RS27425","PA14_68170","PA5161","QLX61_RS27385"
"NNL25_RS16305","","","4","4","1","1","523","","","","2276","2276","2276","NNL25_RS16305","PA14_40350","PA1866","QLX61_RS16535"
"NNL25_RS19670","","","4","4","1","1","3123","","","","1229","1229","1229","NNL25_RS19670","PA14_48630","PA1212","QLX61_RS19830"
"cobN","","","4","4","1","1","4942","","","","3746","3746","3746","NNL25_RS10235","PA14_25970","PA2944","QLX61_RS10270"
"murJ","","","4","4","1","1","3516","","","","1538","1538","1538","NNL25_RS24205","PA14_60390","PA4562","QLX61_RS24130"
"aprE","","","4","4","1","1","3074","","","","1298","1298","1298","NNL25_RS19495","PA14_48100","PA1247","QLX61_RS19625"
"nadD","","","4","4","1","1","6136","","","","644","644","644","NNL25_RS04895","PA14_12020","PA4006","QLX61_RS04880"
"aceA","","","4","4","1","1","4553","","","","1595","1595","1595","NNL25_RS11950","PA14_30050","PA2634","QLX61_RS12320"
"speE2","","","4","4","1","1","2220","","","","1049","1127","1088","NNL25_RS25440","PA14_63120","PA4774","QLX61_RS25290"
"PA4961","","","4","4","1","1","2018","","","","1538","1538","1538","NNL25_RS26395","PA14_65570","PA4961","QLX61_RS26290"
"PA1408","","","4","4","1","1","2947","","","","2423","2423","2423","NNL25_RS18665","PA14_46240","PA1408","QLX61_RS19315"
"NNL25_RS07760","","","4","4","1","1","5513","","","","1757","1757","1757","NNL25_RS07760","PA14_19810","PA3422","QLX61_RS07780"
"rtcR","","","4","4","1","1","3496","","","","1595","1595","1595","NNL25_RS24300","PA14_60600","PA4581","QLX61_RS24225"
"tilS","","","4","4","1","1","5714","","","","1328","1328","1328","NNL25_RS06770","PA14_17280","PA3638","QLX61_RS06785"
"PA14_19390","","","4","4","1","1","5550","","","","752","752","752","NNL25_RS07585","PA14_19390","PA3457","QLX61_RS07600"
"rrmA","","","4","4","1","1","2462","","","","803","803","803","NNL25_RS19925","PA14_49390","PA1161","QLX61_RS20085"
"rhlI","","","4","4","1","1","5569","","","","605","605","605","NNL25_RS07490","PA14_19130","PA3476","QLX61_RS07500"
"PA0063","","","4","4","1","1","1028","","","","1127","1127","1127","NNL25_RS00345","PA14_00750","PA0063","QLX61_RS00435"
"PA14_49930","","","4","4","1","1","2413","","","","839","839","839","NNL25_RS20155","PA14_49930","PA1116","QLX61_RS20320"
"mqoB","","","4","4","1","1","3431","","","","1523","1523","1523","NNL25_RS24625","PA14_61400","PA4640","QLX61_RS24550"
"QLX61_RS28925","","","4","4","1","1","1507","","","","1301","1301","1301","NNL25_RS28970","PA14_72020","PA5456","QLX61_RS28925"
"ccmF","","","4","4","1","1","2824","","","","1973","1973","1973","NNL25_RS18310","PA14_45310","PA1480","QLX61_RS18955"
"PA1396","","","4","4","1","1","2964","","","","1622","1622","1622","NNL25_RS18750","PA14_46370","PA1396","QLX61_RS19375"
"NNL25_RS15165","","","4","4","1","1","255","","","","1280","1283","1281","NNL25_RS15165","PA14_37460","PA2091","QLX61_RS15400"
"PA0440","","","4","4","1","1","6686","","","","1367","1367","1367","NNL25_RS02190","PA14_05750","PA0440","QLX61_RS02320"
"PA0117","","","4","4","1","1","1083","","","","728","728","728","NNL25_RS00615","PA14_01430","PA0117","QLX61_RS00705"
"murI","","","4","4","1","1","3409","","","","797","797","797","NNL25_RS24735","PA14_61660","PA4662","QLX61_RS24660"
"group_5588","phzG","","4","4","1","1","6346","","","","644","647","644","NNL25_RS03835","PA14_09410","PA4216","QLX61_RS03820"
"phzG","","","4","4","1","1","565","","","","644","647","645","NNL25_RS16105","PA14_39880","PA1905","QLX61_RS16335"
"PA14_63390","","","4","4","1","1","2194","","","","578","596","582","NNL25_RS25565","PA14_63390","PA4799","QLX61_RS25415"
"napB","","","4","4","1","1","2474","","","","491","491","491","NNL25_RS19865","PA14_49260","PA1173","QLX61_RS20025"
"kup","","","4","4","1","1","725","","","","1904","1904","1904","NNL25_RS21420","PA14_52400","PA0917","QLX61_RS21355"
"QLX61_RS08145","","","4","4","1","1","5440","","","","1241","1241","1241","NNL25_RS08110","PA14_20670","PA3356","QLX61_RS08145"
"ispH","","","4","4","1","1","3523","","","","944","944","944","NNL25_RS24180","PA14_60330","PA4557","QLX61_RS24105"
"NNL25_RS20690","","","4","4","1","1","857","","","","986","986","986","NNL25_RS20690","PA14_51080","PA1024","QLX61_RS20800"
"PA14_10870","","","4","4","1","1","6232","","","","1304","1304","1304","NNL25_RS04430","PA14_10870","PA4099","QLX61_RS04415"
"tagF1","","","4","4","1","1","1041","","","","680","680","680","NNL25_RS00410","PA14_00900","PA0076","QLX61_RS00500"
"PA14_64790","","","4","4","1","1","2079","","","","1334","1334","1334","NNL25_RS26095","PA14_64790","PA4903","QLX61_RS25990"
"PA14_49680","","","4","4","1","1","2436","","","","875","875","875","NNL25_RS20040","PA14_49680","PA1138","QLX61_RS20205"
"lhpM","","","4","4","1","1","3063","","","","665","665","665","NNL25_RS19440","PA14_47940","PA1258","QLX61_RS19570"
"QLX61_RS11840","","","4","4","1","1","4652","","","","3632","6296","5630","NNL25_RS11465","PA14_28895","PA2727","QLX61_RS11840"
"PA4801","","","4","4","1","1","2192","","","","368","368","368","NNL25_RS25575","PA14_63430","PA4801","QLX61_RS25425"
"malQ","","","4","4","1","1","177","","","","2054","2054","2054","NNL25_RS14815","PA14_36590","PA2163","QLX61_RS15050"
"phnE","","","4","4","1","1","5400","","","","770","770","770","NNL25_RS08310","PA14_21140","PA3316","QLX61_RS08345"
"group_5602","gcvH","","4","4","1","1","1759","","","","389","389","389","NNL25_RS27705","PA14_68860","PA5214","QLX61_RS27665"
"hsiB2","","","4","4","1","1","2673","","","","506","506","506","NNL25_RS17395","PA14_43040","PA1657","QLX61_RS17625"
"gluQRS","","","4","4","1","1","2272","","","","881","881","881","NNL25_RS25175","PA14_62510","PA4724","QLX61_RS25025"
"tadA","","","4","4","1","1","5847","","","","548","548","548","NNL25_RS06110","PA14_15680","PA3767","QLX61_RS06125"
"PA1438","","","4","4","1","1","2917","","","","1445","1445","1445","NNL25_RS18515","PA14_45870","PA1438","QLX61_RS19165"
"QLX61_RS17800","","","4","4","1","1","2708","","","","662","662","662","NNL25_RS17570","PA14_43530","PA1623","QLX61_RS17800"
